股票代码,评分日期,盈利质量覆盖率,成长质量覆盖率,财务健康覆盖率,估值合理性覆盖率,治理与事件风险覆盖率,盈利质量评分,成长质量评分,财务健康评分,估值合理性评分,治理与事件风险评分,总分,置信度,评分状态,硬风险,准入结论
002916,2020-04-10,1.0,0.65,1.0,0.0,0.0,10.0,10.0,5.275,0.0,0,87.4,0.5631,数据不足,,数据不足
302132,2020-04-10,1.0,0.65,0.75,0.0,0.0,5.5,5.5,3.7,0.0,0,50.2,0.5206,数据不足,,数据不足
300628,2020-04-15,1.0,0.65,0.75,0.0,0.0,5.5,5.5,5.5,0.0,0,55.0,0.5206,数据不足,,数据不足
603799,2020-04-16,1.0,0.65,1.0,0.0,0.0,5.5,5.5,5.5,0.0,0,55.0,0.5631,数据不足,,数据不足
600549,2020-04-17,1.0,0.65,1.0,0.0,0.0,5.5,5.5,5.5,0.0,0,55.0,0.5631,数据不足,,数据不足
300059,2020-04-18,1.0,0.65,0.6,0.0,0.0,5.5,5.5,5.5,0.0,0,55.0,0.4951,数据不足,,数据不足
000001,2020-04-21,0.6,0.65,0.25,0.0,0.0,8.5,5.6154,1.0,0.0,0,55.3846,0.3336,数据不足,,数据不足
002311,2020-04-21,1.0,0.65,1.0,0.0,0.0,8.2,10.0,5.35,0.0,0,80.4,0.5631,数据不足,,数据不足
600438,2020-04-21,1.0,0.65,1.0,0.0,0.0,5.5,5.3846,4.075,0.0,0,50.8154,0.5631,数据不足,,数据不足
000708,2020-04-22,1.0,0.65,1.0,0.0,0.0,7.24,10.0,5.65,0.0,0,77.36,0.5631,数据不足,,数据不足
002230,2020-04-22,0.7,0.3,1.0,0.0,0.0,2.5,8.5,4.975,0.0,0,51.6,0.4123,数据不足,,数据不足
002241,2020-04-22,1.0,0.65,1.0,0.0,0.0,5.32,4.0462,5.5,0.0,0,49.4338,0.5631,数据不足,,数据不足
002463,2020-04-22,1.0,0.65,0.75,0.0,0.0,7.36,7.6462,5.5,0.0,0,69.5938,0.5206,数据不足,,数据不足
600011,2020-04-22,1.0,0.65,1.0,0.0,0.0,6.25,4.6,4.225,0.0,0,51.6,0.5631,数据不足,,数据不足
600845,2020-04-22,1.0,0.65,1.0,0.0,0.0,7.93,4.3231,4.45,0.0,0,57.9969,0.5631,数据不足,,数据不足
300502,2020-04-23,1.0,0.65,0.75,0.0,0.0,6.85,5.7308,4.45,0.0,0,58.3692,0.5206,数据不足,,数据不足
600050,2020-04-23,1.0,0.65,1.0,0.0,0.0,9.1,6.8846,5.05,0.0,0,72.8154,0.5631,数据不足,,数据不足
601012,2020-04-23,1.0,0.65,1.0,0.5,0.0,6.625,8.3846,3.5875,5.5,0,62.5128,0.6269,可评价,,基本面不准入
601888,2020-04-23,0.7,0.3,0.75,0.0,0.0,3.25,5.5,6.1,0.0,0,47.6,0.3697,数据不足,,数据不足
000988,2020-04-24,0.7,0.65,1.0,0.0,0.0,1.6857,1.4038,3.8356,0.0,0,21.6505,0.4866,数据不足,,数据不足
002049,2020-04-24,1.0,0.65,1.0,0.0,0.0,7.4243,7.6016,6.6769,0.0,0,72.8411,0.5631,数据不足,,数据不足
002179,2020-04-24,1.0,0.65,1.0,0.0,0.0,3.9914,2.8874,3.25,0.0,0,34.2569,0.5631,数据不足,,数据不足
002352,2020-04-24,1.0,0.65,1.0,0.0,0.0,5.6157,5.8791,7.0808,0.0,0,60.942,0.5631,数据不足,,数据不足
300308,2020-04-24,1.0,0.3,1.0,0.0,0.0,4.9386,10.0,6.1115,0.0,0,69.3851,0.4887,数据不足,,数据不足
300498,2020-04-24,1.0,0.65,1.0,0.0,0.0,7.0429,5.9038,8.4913,0.0,0,70.4945,0.5631,数据不足,,数据不足
600346,2020-04-24,1.0,0.65,1.0,0.0,0.0,8.0414,8.5989,5.1798,0.0,0,74.6415,0.5631,数据不足,,数据不足
600372,2020-04-24,1.0,0.3,1.0,0.0,0.0,4.6857,4.8571,3.7346,0.0,0,44.8923,0.4887,数据不足,,数据不足
601318,2020-04-24,0.6,0.65,0.5,0.0,0.0,7.5571,3.9093,4.4154,0.0,0,55.0341,0.3761,数据不足,,数据不足
601360,2020-04-24,1.0,0.65,0.75,0.0,0.0,3.61,6.1429,6.3,0.0,0,51.7162,0.5206,数据不足,,数据不足
601628,2020-04-24,0.6,0.65,0.5,0.0,0.0,8.8,5.4176,2.6385,0.0,0,60.2945,0.3761,数据不足,,数据不足
601985,2020-04-24,1.0,0.65,1.0,0.0,0.0,8.0071,4.478,3.7087,0.0,0,56.8451,0.5631,数据不足,,数据不足
601998,2020-04-24,0.6,0.65,0.25,0.0,0.0,3.7214,5.7967,1.0,0.0,0,36.8747,0.3336,数据不足,,数据不足
603501,2020-04-24,1.0,0.65,1.0,0.0,0.0,7.4971,9.2995,5.2029,0.0,0,74.8611,0.5631,数据不足,,数据不足
688396,2020-04-24,1.0,0.0,1.0,0.0,0.0,4.6686,0.0,7.026,0.0,0,56.1153,0.425,数据不足,,数据不足
000063,2020-04-25,1.0,0.65,1.0,0.0,0.0,3.832,1.5631,4.158,0.0,0,31.6262,0.5631,数据不足,,数据不足
000938,2020-04-25,1.0,0.65,0.75,0.0,0.0,7.216,4.4062,6.6989,0.0,0,61.4149,0.5206,数据不足,,数据不足
002028,2020-04-25,1.0,0.65,0.75,0.0,0.0,2.704,7.6092,3.9,0.0,0,46.5801,0.5206,数据不足,,数据不足
002142,2020-04-25,0.6,0.65,0.25,0.0,0.0,5.2733,6.8246,1.3333,0.0,0,47.3976,0.3336,数据不足,,数据不足
002371,2020-04-25,1.0,0.3,1.0,0.5,0.0,7.656,8.92,5.2014,1.36,0,64.1232,0.5525,数据不足,,数据不足
002384,2020-04-25,1.0,0.65,1.0,0.5,0.0,4.508,8.3754,4.8077,4.78,0,56.9422,0.6269,可评价,,基本面不准入
002415,2020-04-25,1.0,0.65,1.0,0.5,0.0,4.512,5.2,4.6818,6.22,0,50.2551,0.6269,可评价,,基本面不准入
300014,2020-04-25,1.0,0.65,1.0,0.5,0.0,5.656,8.9754,4.7542,4.24,0,61.4164,0.6269,可评价,,基本面不准入
300316,2020-04-25,1.0,0.65,1.0,0.0,0.0,6.184,8.0154,3.5924,0.0,0,61.0336,0.5631,数据不足,,数据不足
300413,2020-04-25,1.0,0.65,0.75,0.5,0.0,5.888,9.8338,4.9078,2.8,0,62.5157,0.5844,数据不足,,数据不足
600025,2020-04-25,0.7,0.65,1.0,0.0,0.0,5.7714,1.8954,5.1381,0.0,0,43.1053,0.4866,数据不足,,数据不足
600118,2020-04-25,1.0,0.65,0.75,0.0,0.0,9.072,3.4462,4.6111,0.0,0,60.0715,0.5206,数据不足,,数据不足
600176,2020-04-25,1.0,0.65,1.0,0.0,0.0,3.804,3.6492,5.3362,0.0,0,41.6099,0.5631,数据不足,,数据不足
600309,2020-04-25,1.0,0.65,1.0,0.0,0.0,5.42,3.52,6.6899,0.0,0,51.253,0.5631,数据不足,,数据不足
600436,2020-04-25,1.0,0.65,0.75,0.0,0.0,7.42,7.9508,5.9378,0.0,0,72.0166,0.5206,数据不足,,数据不足
600674,2020-04-25,1.0,0.65,1.0,0.0,0.0,3.272,2.0892,7.0371,0.0,0,38.8178,0.5631,数据不足,,数据不足
600760,2020-04-25,1.0,0.3,1.0,0.5,0.0,6.06,10.0,5.1344,6.04,0,69.4542,0.5525,数据不足,,数据不足
601066,2020-04-25,0.6,0.65,0.25,0.0,0.0,3.8467,6.8892,2.3333,0.0,0,44.573,0.3336,数据不足,,数据不足
601077,2020-04-25,0.6,0.0,0.25,0.5,0.0,4.4267,0.0,1.6667,9.1,0,46.559,0.2592,数据不足,,数据不足
601088,2020-04-25,1.0,0.65,1.0,0.0,0.0,5.616,2.8831,8.2717,0.0,0,54.132,0.5631,数据不足,,数据不足
601377,2020-04-25,0.6,0.65,0.5,0.5,0.0,7.5067,4.6185,5.5357,6.22,0,60.5195,0.4399,数据不足,,数据不足
601601,2020-04-25,0.6,0.65,0.25,0.0,0.0,8.32,6.0862,2.0,0.0,0,58.9005,0.3336,数据不足,,数据不足
601633,2020-04-25,0.7,0.3,1.0,0.0,0.0,1.5429,1.36,7.4668,0.0,0,30.6162,0.4123,数据不足,,数据不足
601901,2020-04-25,0.6,0.65,0.25,0.0,0.0,7.3,5.2369,4.0,0.0,0,57.3231,0.3336,数据不足,,数据不足
601916,2020-04-25,0.6,0.3,0.25,0.5,0.0,8.0,6.4,1.0,8.2,0,60.3333,0.323,数据不足,,数据不足
603288,2020-04-25,1.0,0.65,0.75,0.0,0.0,7.268,6.0954,7.2844,0.0,0,68.8151,0.5206,数据不足,,数据不足
688008,2020-04-25,1.0,0.0,0.75,0.5,0.0,6.288,0.0,7.3989,1.54,0,55.3412,0.4462,数据不足,,数据不足
000596,2020-04-27,1.0,0.65,0.75,0.0,0.0,7.9,5.3846,4.7,0.0,0,62.0821,0.5206,数据不足,,数据不足
