股票代码,评分日期,盈利质量覆盖率,成长质量覆盖率,财务健康覆盖率,估值合理性覆盖率,治理与事件风险覆盖率,盈利质量评分,成长质量评分,财务健康评分,估值合理性评分,治理与事件风险评分,总分,置信度,评分状态,硬风险,准入结论
600118,2026-07-28,0.7,0.3,1.0,0.5,0.0,1.0829,1.2517,6.4831,1.3375,0,23.7226,0.2195,数据不足,,数据不足
002532,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.2233,7.5473,6.51,7.35,0,71.7591,0.3134,数据不足,,数据不足
000988,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.6005,6.5999,5.7476,2.1875,0,53.4194,0.3065,数据不足,,数据不足
000657,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.1641,9.3248,5.7676,2.0125,0,62.6201,0.3065,数据不足,,数据不足
301308,2026-07-28,1.0,0.3,1.0,0.5,0.0,7.0878,9.8741,4.4857,3.3188,0,66.5535,0.2732,数据不足,,数据不足
688072,2026-07-28,1.0,0.65,1.0,0.5,0.0,6.3256,9.3282,4.9622,1.3125,0,60.2116,0.31,数据不足,,数据不足
002202,2026-07-28,1.0,0.65,1.0,0.5,0.0,2.9693,5.9817,3.4597,5.075,0,42.6598,0.2995,数据不足,,数据不足
301165,2026-07-28,1.0,0.65,0.75,0.5,0.0,3.7672,5.1285,5.2997,1.2375,0,40.6427,0.2662,数据不足,,数据不足
002558,2026-07-28,1.0,0.65,0.6,0.5,0.0,7.5466,9.3121,9.2048,5.125,0,80.0191,0.2763,数据不足,,数据不足
688183,2026-07-28,1.0,0.3,1.0,0.5,0.0,7.4688,9.5594,6.2224,2.3688,0,69.2256,0.2762,数据不足,,数据不足
600221,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.1455,8.3572,4.6585,4.375,0,64.6766,0.3169,数据不足,,数据不足
002602,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.1772,9.4835,6.5675,5.8938,0,74.6846,0.3169,数据不足,,数据不足
002837,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.1554,4.8113,4.3953,1.3312,0,49.2023,0.2856,数据不足,,数据不足
600549,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.378,8.4235,5.7155,4.0438,0,60.7661,0.296,数据不足,,数据不足
688521,2026-07-28,0.7,0.3,1.0,0.5,0.0,1.3419,7.4825,3.7297,6.3562,0,44.1397,0.2406,数据不足,,数据不足
300450,2026-07-28,1.0,0.65,1.0,0.5,0.0,5.9881,3.3346,4.1342,3.8188,0,44.775,0.3134,数据不足,,数据不足
001280,2026-07-28,1.0,0.0,0.55,0.5,0.0,4.0423,0.0,5.0095,2.0875,0,38.888,0.2061,数据不足,,数据不足
002353,2026-07-28,1.0,0.65,1.0,0.5,0.0,3.5617,6.9056,4.6867,2.55,0,45.7194,0.2716,数据不足,,数据不足
601727,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.1047,5.3223,3.5019,3.5125,0,52.1027,0.3169,数据不足,,数据不足
600930,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.2705,4.4871,3.5055,5.2563,0,53.2492,0.2856,数据不足,,数据不足
603893,2026-07-28,1.0,0.3,0.75,0.5,0.0,7.5784,9.7168,5.4803,1.7187,0,67.2953,0.2352,数据不足,,数据不足
300476,2026-07-28,1.0,0.65,1.0,0.5,0.0,7.7844,9.5672,4.9602,2.3938,0,67.5357,0.3134,数据不足,,数据不足
600522,2026-07-28,1.0,0.65,1.0,0.5,0.0,3.5697,7.0152,6.5173,4.0625,0,52.6397,0.2995,数据不足,,数据不足
300803,2026-07-28,1.0,0.65,0.75,0.5,0.0,5.1317,8.0171,6.1081,1.2938,0,55.1052,0.2792,数据不足,,数据不足
300251,2026-07-28,1.0,0.65,0.75,0.5,0.0,7.0146,1.1503,4.692,7.5625,0,49.608,0.2695,数据不足,,数据不足
