指标键,统计期日期,官方发布日期,原始数值,单位,来源,来源优先级,官方链接,状态,备注
商贸零售|1-社会消费品零售总额增速,2020-12-31,2021-01-18,4.6,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900968.html,发布日期已核验（官方页面）,当月同比
家用电器|1-房地产竣工面积增速,2020-12-31,2021-01-18,-4.9,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900967.html,发布日期已核验（官方页面）,1—12月累计同比
家用电器|2-商品房销售面积增速,2020-12-31,2021-01-18,2.6,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900967.html,发布日期已核验（官方页面）,1—12月累计同比
建筑材料|3-房地产新开工面积增速,2020-12-31,2021-01-18,-1.2,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900967.html,发布日期已核验（官方页面）,1—12月累计同比
建筑装饰|3-房地产新开工面积增速,2020-12-31,2021-01-18,-1.2,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900967.html,发布日期已核验（官方页面）,1—12月累计同比
建筑材料|4-基建投资增速,2020-12-31,2021-01-18,0.9,%YoY,国家统计局,10,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202101/t20210118_1812460.html,发布日期已核验（官方页面）,不含电力热力燃气及水生产和供应业
机械设备|1-制造业固定资产投资增速,2020-12-31,2021-01-18,-2.2,%YoY,国家统计局,10,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202101/t20210118_1812460.html,发布日期已核验（官方页面）,1—12月累计同比
商贸零售|1-社会消费品零售总额增速,2021-02-28,2021-03-15,33.8,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901028.html,发布日期已核验（官方页面）,1—2月累计同比
家用电器|1-房地产竣工面积增速,2021-02-28,2021-03-15,40.4,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901027.html,发布日期已核验（官方页面）,1—2月累计同比
家用电器|2-商品房销售面积增速,2021-02-28,2021-03-15,105,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901027.html,发布日期已核验（官方页面）,原文“增长1.05倍”按105%录入
建筑材料|3-房地产新开工面积增速,2021-02-28,2021-03-15,64.3,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901027.html,发布日期已核验（官方页面）,1—2月累计同比
建筑装饰|3-房地产新开工面积增速,2021-02-28,2021-03-15,64.3,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901027.html,发布日期已核验（官方页面）,1—2月累计同比
建筑材料|4-基建投资增速,2021-02-28,2021-03-15,36.6,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901026.html,发布日期已核验（官方页面）,不含电力热力燃气及水生产和供应业
机械设备|1-制造业固定资产投资增速,2021-02-28,2021-03-15,37.3,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901026.html,发布日期已核验（官方页面）,1—2月累计同比
商贸零售|1-社会消费品零售总额增速,2021-03-31,2021-04-16,34.2,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901050.html,发布日期已核验（官方页面）,当月同比
家用电器|1-房地产竣工面积增速,2021-03-31,2021-04-16,22.9,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901049.html,发布日期已核验（官方页面）,1—3月累计同比
家用电器|2-商品房销售面积增速,2021-03-31,2021-04-16,63.8,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901049.html,发布日期已核验（官方页面）,1—3月累计同比
建筑材料|3-房地产新开工面积增速,2021-03-31,2021-04-16,28.2,%YoY,国家统计局,10,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901049.html,发布日期已核验（官方页面）,1—3月累计同比
