股票代码,生效日期,行业代码,源更新日期
000001,1991-04-03,440101,2015-10-27
000001,2014-02-21,480101,2024-09-27
000001,2021-07-30,480301,2025-12-15
000002,1991-01-29,430101,2015-10-27
000003,1991-04-14,510101,2015-10-27
000004,1990-01-01,420301,2024-09-27
000004,2001-09-01,370301,2015-10-27
000004,2007-07-02,430101,2015-10-27
000004,2009-01-01,370301,2015-10-27
000004,2019-07-24,370102,2020-12-04
000004,2021-06-11,710202,2021-06-11
000004,2021-07-30,710402,2021-07-31
000005,1990-12-10,430101,2015-10-27
000005,2017-06-29,410401,2019-08-09
000005,2021-07-30,760104,2022-10-11
000006,1992-04-27,430101,2015-10-27
000006,2015-10-01,210202,2016-03-03
000006,2017-06-29,430101,2020-12-16
000007,1992-04-13,330202,2015-10-27
000007,2006-09-01,430101,2015-10-27
000007,2009-06-01,460201,2015-10-27
000007,2012-10-08,510101,2015-10-27
000007,2013-07-01,240106,2015-10-27
000007,2014-02-21,240504,2024-09-27
000007,2014-07-01,460401,2015-10-27
000007,2017-06-29,510101,2018-06-20
000007,2019-07-24,450501,2019-08-09
000007,2021-07-30,450304,2021-07-31
000008,1992-05-07,510101,2015-10-27
000008,2013-01-01,460201,2015-10-27
000008,2015-07-01,640501,2015-10-27
000009,1991-06-25,430101,2015-10-27
000009,2013-01-01,510101,2015-10-27
000009,2021-07-30,630702,2025-10-15
000010,1995-10-27,450201,2015-10-27
000010,2007-07-02,510101,2015-10-27
000010,2015-07-01,620501,2019-08-09
000010,2021-07-30,620307,2021-08-02
000011,1992-03-30,430101,2015-10-27
000012,1992-02-28,250101,2015-10-27
000012,2014-02-21,610201,2024-09-27
000013,1991-12-11,510101,2015-10-27
000013,2003-05-01,220501,2015-10-27
000014,1991-12-19,320201,2015-10-27
000014,2001-05-01,430101,2015-10-27
000015,1992-06-25,510101,2015-10-27
000016,1992-03-27,330201,2015-10-27
000016,2024-07-30,330106,2024-07-30
000017,1992-03-31,310301,2015-10-27
000017,2011-10-10,310307,2015-10-27
000017,2014-02-21,280401,2024-09-27
000017,2022-07-29,350301,2022-07-29
000018,1992-06-16,350104,2015-10-27
000018,2013-01-01,510101,2015-10-27
000018,2015-07-01,430101,2015-10-27
000018,2016-05-25,620201,2018-06-20
000018,2018-07-13,620403,2019-08-09
000019,1992-10-12,340304,2015-10-27
000019,2019-07-24,450201,2019-08-09
000019,2021-07-30,110502,2021-07-31
000020,1992-04-28,270201,2015-10-27
000020,2011-10-10,270501,2019-08-09
000020,2021-07-30,270301,2023-04-25
000021,1994-02-02,320201,2015-10-27
000021,2014-02-21,710101,2024-09-27
000021,2019-07-24,270501,2019-08-09
000021,2021-07-30,270504,2023-04-25
000022,1993-05-05,420101,2024-10-25
000023,1993-04-29,250201,2015-10-27
000023,2011-10-10,250203,2015-10-27
000023,2013-07-01,250104,2015-10-27
000023,2014-02-21,610303,2024-09-27
000023,2021-07-30,610102,2023-12-07
000024,1993-03-15,420101,2015-10-27
000024,2002-05-01,430101,2015-10-27
000025,1993-06-21,310401,2024-07-29
000025,2014-02-21,280301,2024-09-27
000025,2021-07-30,280302,2024-07-29
