行业代码,行业名称,一级行业名称,分类版本,来源,核验备注
110101,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110102,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110103,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110104,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110202,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110301,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110401,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110402,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110403,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110404,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110501,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110502,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110504,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110701,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110702,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110703,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110704,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110801,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
110901,农林牧渔,农林牧渔,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
210101,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
210201,煤炭,煤炭,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
210202,煤炭,煤炭,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
210301,,,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,待人工核验
210401,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
210402,石油石化,石油石化,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220101,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220103,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220201,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220202,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220203,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220204,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220205,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220206,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220302,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220303,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
220304,基础化工,基础化工,申万2014/2021（按生效日）,申万行业分类标准；一级行业归并,一级行业归并
