股票代码,生效日期,行业名称,分类标准,来源,行业代码,源更新日期
000001,2014-02-21,银行,申万行业分类,申万宏源行业分类历史文件,480101,2024-09-27
000001,2021-07-30,银行,申万行业分类,申万宏源行业分类历史文件,480301,2025-12-15
000004,2019-07-24,医药生物,申万行业分类,申万宏源行业分类历史文件,370102,2020-12-04
000004,2021-06-11,计算机,申万行业分类,申万宏源行业分类历史文件,710202,2021-06-11
000004,2021-07-30,计算机,申万行业分类,申万宏源行业分类历史文件,710402,2021-07-31
000005,2017-06-29,公用事业,申万行业分类,申万宏源行业分类历史文件,410401,2019-08-09
000005,2021-07-30,环保,申万行业分类,申万宏源行业分类历史文件,760104,2022-10-11
000006,2015-10-01,煤炭,申万行业分类,申万宏源行业分类历史文件,210202,2016-03-03
000006,2017-06-29,房地产,申万行业分类,申万宏源行业分类历史文件,430101,2020-12-16
000007,2014-02-21,有色金属,申万行业分类,申万宏源行业分类历史文件,240504,2024-09-27
000007,2014-07-01,社会服务,申万行业分类,申万宏源行业分类历史文件,460401,2015-10-27
000007,2017-06-29,综合,申万行业分类,申万宏源行业分类历史文件,510101,2018-06-20
000007,2019-07-24,商贸零售,申万行业分类,申万宏源行业分类历史文件,450501,2019-08-09
000007,2021-07-30,商贸零售,申万行业分类,申万宏源行业分类历史文件,450304,2021-07-31
000008,2015-07-01,机械设备,申万行业分类,申万宏源行业分类历史文件,640501,2015-10-27
000009,2021-07-30,电力设备,申万行业分类,申万宏源行业分类历史文件,630702,2025-10-15
000010,2015-07-01,建筑装饰,申万行业分类,申万宏源行业分类历史文件,620501,2019-08-09
000010,2021-07-30,建筑装饰,申万行业分类,申万宏源行业分类历史文件,620307,2021-08-02
000012,2014-02-21,建筑材料,申万行业分类,申万宏源行业分类历史文件,610201,2024-09-27
000016,2024-07-30,家用电器,申万行业分类,申万宏源行业分类历史文件,330106,2024-07-30
000017,2014-02-21,汽车,申万行业分类,申万宏源行业分类历史文件,280401,2024-09-27
000017,2022-07-29,纺织服饰,申万行业分类,申万宏源行业分类历史文件,350301,2022-07-29
000018,2015-07-01,房地产,申万行业分类,申万宏源行业分类历史文件,430101,2015-10-27
000018,2016-05-25,建筑装饰,申万行业分类,申万宏源行业分类历史文件,620201,2018-06-20
000018,2018-07-13,建筑装饰,申万行业分类,申万宏源行业分类历史文件,620403,2019-08-09
000019,2019-07-24,商贸零售,申万行业分类,申万宏源行业分类历史文件,450201,2019-08-09
000019,2021-07-30,农林牧渔,申万行业分类,申万宏源行业分类历史文件,110502,2021-07-31
000020,2021-07-30,电子,申万行业分类,申万宏源行业分类历史文件,270301,2023-04-25
000021,2014-02-21,计算机,申万行业分类,申万宏源行业分类历史文件,710101,2024-09-27
000021,2019-07-24,电子,申万行业分类,申万宏源行业分类历史文件,270501,2019-08-09
000021,2021-07-30,电子,申万行业分类,申万宏源行业分类历史文件,270504,2023-04-25
000023,2014-02-21,建筑材料,申万行业分类,申万宏源行业分类历史文件,610303,2024-09-27
000023,2021-07-30,建筑材料,申万行业分类,申万宏源行业分类历史文件,610102,2023-12-07
000025,2014-02-21,汽车,申万行业分类,申万宏源行业分类历史文件,280301,2024-09-27
000025,2021-07-30,汽车,申万行业分类,申万宏源行业分类历史文件,280302,2024-07-29
000025,2023-07-04,综合,申万行业分类,申万宏源行业分类历史文件,510101,2024-07-29
000026,2021-07-30,纺织服饰,申万行业分类,申万宏源行业分类历史文件,350301,2023-06-28
000028,2021-07-30,医药生物,申万行业分类,申万宏源行业分类历史文件,370402,2021-07-31
