指标键,生效日期,数据截止日,指标评分,来源,来源优先级,评分版本,备注
综合|2-制造业PMI,2008-01-01,2008-01-01,7.5,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-02-01,2008-02-01,2.945945945945946,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-03-01,2008-03-01,4.078947368421053,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-04-01,2008-04-01,9.769230769230768,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-05-01,2008-05-01,10.0,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-06-01,2008-06-01,3.74390243902439,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-07-01,2008-07-01,1.6428571428571428,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-08-01,2008-08-01,1.2093023255813953,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-09-01,2008-09-01,1.3068181818181817,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-10-01,2008-10-01,1.8,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-11-01,2008-11-01,1.1956521739130435,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2008-12-01,2008-12-01,1.1914893617021276,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-01-01,2009-01-01,1.375,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-02-01,2009-02-01,1.7346938775510203,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-03-01,2009-03-01,2.2600000000000002,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-04-01,2009-04-01,3.5588235294117645,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-05-01,2009-05-01,5.326923076923077,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-06-01,2009-06-01,4.39622641509434,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-07-01,2009-07-01,4.75,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-08-01,2009-08-01,5.090909090909091,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-09-01,2009-09-01,5.741071428571429,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-10-01,2009-10-01,6.447368421052632,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-11-01,2009-11-01,7.827586206896552,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2009-12-01,2009-12-01,7.788135593220339,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-01-01,2010-01-01,8.95,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-02-01,2010-02-01,8.5,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-03-01,2010-03-01,2.725,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-04-01,2010-04-01,7.3,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-05-01,2010-05-01,8.575,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-06-01,2010-06-01,5.35,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-07-01,2010-07-01,2.95,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-08-01,2010-08-01,2.275,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-09-01,2010-09-01,2.5,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-10-01,2010-10-01,5.35,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-11-01,2010-11-01,6.775,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2010-12-01,2010-12-01,7.6,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-01-01,2011-01-01,5.574999999999999,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
综合|2-制造业PMI,2011-02-01,2011-02-01,3.55,国家统计局/制造业PMI,10,v3-公开初版,发布日期已抽样核验；5年滚动分位评分
