研究排名,股票代码,评分日期,总分,置信度,研究分层,入选研究池,硬筛选原因,复核提醒,准入结论
1,002558,2026-07-28,80.0191,0.2763,观察,True,,,数据不足
2,000807,2026-07-28,79.8606,0.296,观察,True,,,数据不足
3,000975,2026-07-28,79.3068,0.2891,观察,True,,,数据不足
4,603993,2026-07-28,75.4166,0.2995,观察,True,,,数据不足
5,002602,2026-07-28,74.6846,0.3169,观察,True,,,数据不足
6,605499,2026-07-28,73.7001,0.2954,观察,True,,,数据不足
7,600066,2026-07-28,72.3783,0.2889,观察,True,,,数据不足
8,300308,2026-07-28,72.3761,0.2716,观察,True,,,数据不足
9,600989,2026-07-28,72.3261,0.296,观察,True,,,数据不足
10,002532,2026-07-28,71.7591,0.3134,观察,True,,,数据不足
11,688256,2026-07-28,71.2623,0.2578,观察,True,,,数据不足
12,603986,2026-07-28,71.2419,0.2954,观察,True,,,数据不足
13,605117,2026-07-28,70.841,0.3169,观察,True,,,数据不足
14,601899,2026-07-28,70.2678,0.2891,观察,True,,,数据不足
15,688008,2026-07-28,70.088,0.31,观察,True,,,数据不足
16,002001,2026-07-28,69.8847,0.3134,观察,True,,,数据不足
17,300394,2026-07-28,69.7212,0.2662,观察,True,,,数据不足
18,688183,2026-07-28,69.2256,0.2762,观察,True,,,数据不足
19,600489,2026-07-28,68.9545,0.3134,观察,True,,盈利为正但经营现金流为负，需复核连续性,数据不足
20,300502,2026-07-28,68.831,0.276,观察,True,,,数据不足
21,002074,2026-07-28,68.3084,0.2762,观察,True,,,数据不足
22,601138,2026-07-28,68.1735,0.2922,观察,True,,,数据不足
23,002648,2026-07-28,67.6893,0.2612,观察,True,,,数据不足
24,601600,2026-07-28,67.6722,0.296,观察,True,,,数据不足
25,300476,2026-07-28,67.5357,0.3134,观察,True,,,数据不足
26,603259,2026-07-28,67.4222,0.31,观察,True,,,数据不足
27,688111,2026-07-28,67.1181,0.276,观察,True,,,数据不足
28,302132,2026-07-28,67.1172,0.3134,观察,True,,,数据不足
29,601872,2026-07-28,66.8595,0.2995,观察,True,,,数据不足
30,000792,2026-07-28,66.6448,0.3169,观察,True,,,数据不足
31,600150,2026-07-28,66.5583,0.2793,观察,True,,,数据不足
32,301308,2026-07-28,66.5535,0.2732,观察,True,,盈利为正但经营现金流为负，需复核连续性,数据不足
33,002709,2026-07-28,66.5154,0.31,观察,True,,盈利为正但经营现金流为负，需复核连续性,数据不足
34,002027,2026-07-28,66.5073,0.3134,观察,True,,,数据不足
35,300999,2026-07-28,66.3085,0.3169,观察,True,,,数据不足
36,300628,2026-07-28,66.3077,0.2695,观察,True,,,数据不足
37,601021,2026-07-28,66.1639,0.3169,观察,True,,,数据不足
38,688981,2026-07-28,65.9956,0.3692,观察,True,,,数据不足
39,600547,2026-07-28,65.5473,0.3169,观察,True,,,数据不足
40,600183,2026-07-28,65.1592,0.3134,观察,True,,,数据不足
41,300015,2026-07-28,65.0768,0.296,观察,True,,,数据不足
42,600026,2026-07-28,65.0324,0.31,观察,True,,,数据不足
43,600160,2026-07-28,65.0162,0.3134,观察,True,,,数据不足
44,600233,2026-07-28,64.9946,0.2925,观察,True,,,数据不足
45,002463,2026-07-28,64.9539,0.2925,观察,True,,,数据不足
46,600221,2026-07-28,64.6766,0.3169,观察,True,,,数据不足
47,600938,2026-07-28,64.4978,0.3134,观察,True,,,数据不足
48,601058,2026-07-28,64.4487,0.31,观察,True,,,数据不足
49,600584,2026-07-28,64.1755,0.3134,观察,True,,,数据不足
50,000333,2026-07-28,63.8946,0.3169,观察,True,,,数据不足
51,600030,2026-07-28,72.13,0.2102,数据不足,False,,,数据不足
52,603893,2026-07-28,67.2953,0.2352,数据不足,False,,,数据不足
53,600999,2026-07-28,67.0174,0.2224,数据不足,False,,,数据不足
54,601211,2026-07-28,66.8228,0.2102,数据不足,False,,,数据不足
55,601688,2026-07-28,66.4707,0.2224,数据不足,False,,,数据不足
56,601901,2026-07-28,64.8329,0.2009,数据不足,False,,,数据不足
57,601456,2026-07-28,64.597,0.1965,数据不足,False,,,数据不足
58,000776,2026-07-28,64.4476,0.1965,数据不足,False,,,数据不足
59,601601,2026-07-28,60.2497,0.2199,数据不足,False,,,数据不足
60,601628,2026-07-28,60.1509,0.2224,数据不足,False,,,数据不足
61,601995,2026-07-28,60.0334,0.2009,数据不足,False,,,数据不足
62,300866,2026-07-28,59.9907,0.3169,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
63,000568,2026-07-28,59.8917,0.3134,数据不足,False,,,数据不足
64,600585,2026-07-28,59.8831,0.3169,数据不足,False,,,数据不足
65,300408,2026-07-28,59.8324,0.296,数据不足,False,,,数据不足
66,600018,2026-07-28,59.7743,0.3169,数据不足,False,,,数据不足
67,600023,2026-07-28,59.7286,0.31,数据不足,False,,,数据不足
68,603296,2026-07-28,59.7111,0.3169,数据不足,False,,,数据不足
69,000408,2026-07-28,59.6225,0.2751,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
70,300661,2026-07-28,59.5167,0.3065,数据不足,False,,,数据不足
71,600660,2026-07-28,59.4183,0.2891,数据不足,False,,,数据不足
72,300832,2026-07-28,59.2951,0.2889,数据不足,False,,,数据不足
73,601857,2026-07-28,59.0248,0.3169,数据不足,False,,,数据不足
74,000999,2026-07-28,58.7591,0.2995,数据不足,False,,,数据不足
75,600346,2026-07-28,58.7306,0.2891,数据不足,False,,,数据不足
76,300442,2026-07-28,58.6756,0.2473,数据不足,False,,,数据不足
77,601766,2026-07-28,58.5766,0.3169,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
78,688012,2026-07-28,58.42,0.31,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
79,600415,2026-07-28,58.3138,0.2925,数据不足,False,,,数据不足
80,002352,2026-07-28,58.2344,0.3134,数据不足,False,,,数据不足
81,002311,2026-07-28,58.2172,0.31,数据不足,False,,,数据不足
82,600362,2026-07-28,58.146,0.3134,数据不足,False,,,数据不足
83,002142,2026-07-28,58.1226,0.1899,数据不足,False,,,数据不足
84,603501,2026-07-28,58.0947,0.3169,数据不足,False,,,数据不足
85,002028,2026-07-28,57.8908,0.2995,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
86,601066,2026-07-28,57.8709,0.2009,数据不足,False,,,数据不足
87,002371,2026-07-28,57.6593,0.3169,数据不足,False,,,数据不足
88,601009,2026-07-28,57.5448,0.1854,数据不足,False,,,数据不足
89,600690,2026-07-28,57.4585,0.31,数据不足,False,,,数据不足
90,000630,2026-07-28,57.4461,0.3134,数据不足,False,,,数据不足
91,600176,2026-07-28,57.4181,0.2995,数据不足,False,,,数据不足
92,600011,2026-07-28,57.3264,0.3134,数据不足,False,,,数据不足
93,600027,2026-07-28,57.2036,0.3134,数据不足,False,,,数据不足
94,002384,2026-07-28,57.1625,0.31,数据不足,False,,,数据不足
95,001979,2026-07-28,57.124,0.2793,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
96,601111,2026-07-28,57.079,0.2793,数据不足,False,,,数据不足
97,002050,2026-07-28,56.9381,0.3169,数据不足,False,,,数据不足
98,688036,2026-07-28,56.9195,0.31,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
99,000895,2026-07-28,56.7709,0.3134,数据不足,False,,,数据不足
100,603260,2026-07-28,56.6059,0.2793,数据不足,False,,,数据不足
101,600009,2026-07-28,56.5938,0.2578,数据不足,False,,,数据不足
102,300124,2026-07-28,56.5513,0.31,数据不足,False,,,数据不足
103,601169,2026-07-28,56.5204,0.1965,数据不足,False,,,数据不足
104,600029,2026-07-28,56.4417,0.2793,数据不足,False,,,数据不足
105,600115,2026-07-28,56.1673,0.2793,数据不足,False,,,数据不足
106,300033,2026-07-28,56.1651,0.2608,数据不足,False,,,数据不足
107,600436,2026-07-28,56.043,0.3169,数据不足,False,,,数据不足
108,600482,2026-07-28,55.8658,0.3169,数据不足,False,,,数据不足
109,300418,2026-07-28,55.5086,0.2167,数据不足,False,,ROE与ROIC同时为负，需复核连续性,数据不足
110,002736,2026-07-28,55.4946,0.2009,数据不足,False,,,数据不足
111,600941,2026-07-28,55.4685,0.2856,数据不足,False,,,数据不足
112,600048,2026-07-28,55.4584,0.31,数据不足,False,,,数据不足
113,300413,2026-07-28,55.2961,0.2792,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
114,300760,2026-07-28,55.2507,0.3134,数据不足,False,,,数据不足
115,601877,2026-07-28,55.1905,0.2682,数据不足,False,,,数据不足
116,300803,2026-07-28,55.1052,0.2792,数据不足,False,,,数据不足
117,601919,2026-07-28,55.0036,0.3169,数据不足,False,,,数据不足
118,000425,2026-07-28,54.9425,0.3134,数据不足,False,,,数据不足
119,601225,2026-07-28,54.8939,0.2995,数据不足,False,,,数据不足
120,300059,2026-07-28,54.7829,0.267,数据不足,False,,,数据不足
121,601998,2026-07-28,54.7106,0.2009,数据不足,False,,,数据不足
122,000963,2026-07-28,54.6759,0.296,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
123,688041,2026-07-28,54.6403,0.2403,数据不足,False,,,数据不足
124,601360,2026-07-28,54.6092,0.2793,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
125,688082,2026-07-28,54.5752,0.31,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
126,601018,2026-07-28,54.5247,0.3134,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
127,603019,2026-07-28,54.4932,0.2995,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
128,600031,2026-07-28,54.3883,0.3169,数据不足,False,,,数据不足
129,600019,2026-07-28,54.2726,0.3169,数据不足,False,,,数据不足
130,600674,2026-07-28,54.1924,0.2751,数据不足,False,,,数据不足
131,000338,2026-07-28,54.0181,0.3169,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
132,600918,2026-07-28,53.811,0.2224,数据不足,False,,,数据不足
133,601816,2026-07-28,53.6016,0.304,数据不足,False,,,数据不足
134,600061,2026-07-28,53.5104,0.304,数据不足,False,,,数据不足
135,000988,2026-07-28,53.4194,0.3065,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
136,001965,2026-07-28,53.3145,0.2995,数据不足,False,,,数据不足
137,300014,2026-07-28,53.2645,0.2995,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
138,600930,2026-07-28,53.2492,0.2856,数据不足,False,,,数据不足
139,601117,2026-07-28,53.0816,0.31,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
140,601318,2026-07-28,52.8495,0.2199,数据不足,False,,,数据不足
141,600522,2026-07-28,52.6397,0.2995,数据不足,False,,盈利为正但经营现金流为负，需复核连续性,数据不足
