生效日期,股票代码,股票名称
2019-12-30,SH_600000,浦发银行
2019-12-30,SH_600004,白云机场
2019-12-30,SH_600009,上海机场
2019-12-30,SH_600010,包钢股份
2019-12-30,SH_600011,华能国际
2019-12-30,SH_600015,华夏银行
2019-12-30,SH_600016,民生银行
2019-12-30,SH_600018,上港集团
2019-12-30,SH_600019,宝钢股份
2019-12-30,SH_600023,浙能电力
2019-12-30,SH_600025,华能水电
2019-12-30,SH_600027,华电国际
2019-12-30,SH_600028,中国石化
2019-12-30,SH_600029,南方航空
2019-12-30,SH_600030,中信证券
2019-12-30,SH_600031,三一重工
2019-12-30,SH_600036,招商银行
2019-12-30,SH_600038,中直股份
2019-12-30,SH_600048,保利地产
2019-12-30,SH_600050,中国联通
2019-12-30,SH_600061,国投资本
2019-12-30,SH_600066,宇通客车
2019-12-30,SH_600068,葛洲坝
2019-12-30,SH_600085,同仁堂
2019-12-30,SH_600089,特变电工
2019-12-30,SH_600100,同方股份
2019-12-30,SH_600104,上汽集团
2019-12-30,SH_600109,国金证券
2019-12-30,SH_600111,北方稀土
2019-12-30,SH_600115,东方航空
2019-12-30,SH_600118,中国卫星
2019-12-30,SH_600153,建发股份
2019-12-30,SH_600170,上海建工
2019-12-30,SH_600176,中国巨石
2019-12-30,SH_600177,雅戈尔
2019-12-30,SH_600183,生益科技
2019-12-30,SH_600188,兖州煤业
2019-12-30,SH_600196,复星医药
2019-12-30,SH_600208,新湖中宝
2019-12-30,SH_600219,南山铝业
2019-12-30,SH_600221,海航控股
2019-12-30,SH_600233,圆通速递
2019-12-30,SH_600271,航天信息
2019-12-30,SH_600276,恒瑞医药
2019-12-30,SH_600297,广汇汽车
2019-12-30,SH_600299,安迪苏
2019-12-30,SH_600309,万华化学
2019-12-30,SH_600332,白云山
2019-12-30,SH_600340,华夏幸福
2019-12-30,SH_600346,恒力石化
2019-12-30,SH_600352,浙江龙盛
2019-12-30,SH_600362,江西铜业
2019-12-30,SH_600369,西南证券
2019-12-30,SH_600372,中航电子
2019-12-30,SH_600383,金地集团
2019-12-30,SH_600390,五矿资本
2019-12-30,SH_600398,海澜之家
2019-12-30,SH_600406,国电南瑞
2019-12-30,SH_600436,片仔癀
2019-12-30,SH_600438,通威股份
2019-12-30,SH_600482,中国动力
