股票代码,实际披露日,PE_TTM,PB_MRQ,评分日期,数据来源,来源等级
600118,1997-09-19,56.28,13.47,1997-09-19,AKShare/百度股市通历史估值,公开
600118,1997-10-06,51.8,12.4,1997-10-06,AKShare/百度股市通历史估值,公开
600118,1997-10-23,55.22,13.22,1997-10-23,AKShare/百度股市通历史估值,公开
600118,1997-11-09,57.39,13.74,1997-11-09,AKShare/百度股市通历史估值,公开
600118,1997-11-26,55.62,13.31,1997-11-26,AKShare/百度股市通历史估值,公开
600118,1997-12-13,55.02,13.17,1997-12-13,AKShare/百度股市通历史估值,公开
600118,1997-12-30,63.23,15.13,1997-12-30,AKShare/百度股市通历史估值,公开
600118,1998-01-16,64.94,15.54,1998-01-16,AKShare/百度股市通历史估值,公开
600118,1998-02-02,65.39,15.65,1998-02-02,AKShare/百度股市通历史估值,公开
600118,1998-02-19,67.71,16.21,1998-02-19,AKShare/百度股市通历史估值,公开
600118,1998-03-08,63.43,15.18,1998-03-08,AKShare/百度股市通历史估值,公开
600118,1998-03-25,67.4,16.13,1998-03-25,AKShare/百度股市通历史估值,公开
600118,1998-04-11,80.94,19.37,1998-04-11,AKShare/百度股市通历史估值,公开
600118,1998-04-28,40.35,5.22,1998-04-28,AKShare/百度股市通历史估值,公开
600118,1998-05-15,41.56,5.37,1998-05-15,AKShare/百度股市通历史估值,公开
600118,1998-06-01,44.72,5.78,1998-06-01,AKShare/百度股市通历史估值,公开
600118,1998-06-18,38.92,5.03,1998-06-18,AKShare/百度股市通历史估值,公开
600118,1998-07-05,40.21,5.2,1998-07-05,AKShare/百度股市通历史估值,公开
600118,1998-07-22,37.64,4.87,1998-07-22,AKShare/百度股市通历史估值,公开
600118,1998-08-08,28.51,4.4,1998-08-08,AKShare/百度股市通历史估值,公开
600118,1998-08-25,26.27,4.05,1998-08-25,AKShare/百度股市通历史估值,公开
600118,1998-09-11,28.61,4.41,1998-09-11,AKShare/百度股市通历史估值,公开
600118,1998-09-28,29.73,4.58,1998-09-28,AKShare/百度股市通历史估值,公开
600118,1998-10-15,30.47,4.7,1998-10-15,AKShare/百度股市通历史估值,公开
600118,1998-11-01,30.13,4.65,1998-11-01,AKShare/百度股市通历史估值,公开
600118,1998-11-18,33.18,5.12,1998-11-18,AKShare/百度股市通历史估值,公开
600118,1998-12-05,30.81,4.75,1998-12-05,AKShare/百度股市通历史估值,公开
600118,1998-12-22,28.75,4.43,1998-12-22,AKShare/百度股市通历史估值,公开
600118,1999-01-08,28.17,4.34,1999-01-08,AKShare/百度股市通历史估值,公开
600118,1999-01-25,26.41,4.07,1999-01-25,AKShare/百度股市通历史估值,公开
600118,1999-02-11,24.55,3.79,1999-02-11,AKShare/百度股市通历史估值,公开
600118,1999-02-28,24.55,3.79,1999-02-28,AKShare/百度股市通历史估值,公开
600118,1999-03-17,26.38,4.07,1999-03-17,AKShare/百度股市通历史估值,公开
600118,1999-04-03,33.6,4.05,1999-04-03,AKShare/百度股市通历史估值,公开
600118,1999-04-20,32.63,3.93,1999-04-20,AKShare/百度股市通历史估值,公开
600118,1999-05-07,31.1,3.75,1999-05-07,AKShare/百度股市通历史估值,公开
600118,1999-05-24,31.22,3.76,1999-05-24,AKShare/百度股市通历史估值,公开
600118,1999-06-10,33.0,3.97,1999-06-10,AKShare/百度股市通历史估值,公开
600118,1999-06-27,39.86,4.8,1999-06-27,AKShare/百度股市通历史估值,公开
600118,1999-07-14,43.62,5.25,1999-07-14,AKShare/百度股市通历史估值,公开
600118,1999-07-31,44.35,5.34,1999-07-31,AKShare/百度股市通历史估值,公开
600118,1999-08-17,48.23,4.85,1999-08-17,AKShare/百度股市通历史估值,公开
600118,1999-09-03,48.46,4.88,1999-09-03,AKShare/百度股市通历史估值,公开
600118,1999-09-20,48.14,4.84,1999-09-20,AKShare/百度股市通历史估值,公开
