股票代码,报告期,实际披露日,数据截止日,评分日期,数据来源,来源等级,收入,归母净利润,扣非净利润,经营现金流净额,自由现金流,FCF净利比,ROE,ROIC,收入3年CAGR,扣非净利润3年CAGR,资产负债率,应收周转天数,存货周转天数,有息负债率,利息保障倍数,PE_TTM,PB_MRQ,估值日期,估值数据状态,毛利率,净利率,审计意见,数据状态,备注,FCF_Yield,大股东质押率,商誉净资产比,EV_EBITDA,监管处罚次数,关联交易风险,诉讼仲裁次数,对外担保风险
600118,20260331,2026-04-22,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,609139977.76,-42690237.93,-44555728.96,-148800391.0,-148800391.0,3.485583548257352,-0.67,-0.528089,-0.2305603128200156,,0.39522767,308.375573,437.876843,0.0361,7298.6816,3816.49,10.24,2026-07-30,当前估值快照，历史估值待核验,14.023134,-7.683621,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,,0.0,0.0,,4,0.004817,0,0.0
2532,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,8444424346.87,2218783652.74,2198816692.98,2341589822.24,2341589822.24,1.0553484199995549,0.0727,0.0542658,0.0673962596417609,0.9143323240315746,0.39942134,5.866421,117.694922,0.086044,2806.6927,10.17,1.94,2026-07-30,当前估值快照，历史估值待核验,35.605213,26.1937,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.1037707394296514,0.1762,0.000197,14.15,15,0.003951,0,0.0
988,20260331,2026-04-27,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,4265855702.83,638461927.07,372744442.79,-1127124073.57,-1127124073.57,-1.7653739804698232,0.0561,0.04523711,0.1697994558363553,0.1049568730857684,0.48751683,92.451003,95.634851,0.093642,20671.3576,53.9,7.84,2026-07-30,当前估值快照，历史估值待核验,19.811644,15.0988,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0327527640161377,0.0,0.0,55.42,7,0.008184,0,0.003447
657,20260331,2026-04-27,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,7006834056.84,921090515.67,915469010.95,-2136017848.64,-2136017848.64,-2.3190097089277524,0.0902999999999999,0.06112611,0.3185054681746166,1.1706866823586108,0.59381905,34.641984,122.052023,0.054653,2326.3936,55.68,10.32,2026-07-30,当前估值快照，历史估值待核验,30.450264,14.133287,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0416488812666622,0.0,0.0,57.35,5,0.007467,3,0.01752
301308,20260331,2026-04-28,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,9908726244.41,3862236561.17,3942639469.07,-2874539454.35,-2874539454.35,-0.7442680966903814,0.3939999999999999,0.16624766,0.8840594595967621,,0.65550235,22.027153,302.665773,0.262373,3180.3436,26.36,11.76,2026-07-30,当前估值快照，历史估值待核验,55.527428,40.16021,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0282347532887094,0.0,0.0731987009549134,24.66,1,0.013993,0,5.7e-05
688072,20260331,2026-04-28,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,1112431778.96,570602298.59,102114282.97,-519847055.4,-519847055.4,-0.911049704294182,0.0825,0.05998114,0.403505072901317,0.7323207902043882,0.60991812,114.140681,1112.692042,0.035626,5815.4455,113.5,25.75,2026-07-30,当前估值快照，历史估值待核验,41.689075,50.544827,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0080268696413584,0.0735,0.0,120.7,1,0.000113,0,0.0
2202,20260331,2026-04-25,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,15484910567.73,907191653.85,918870528.82,-1546626933.77,-1546626933.77,-1.7048513698360452,0.0223,0.01551666,0.4065611441534953,-0.0414642687454336,0.71100396,192.614918,118.76042,0.1693629999999999,602.3931,24.43,1.91,2026-07-30,当前估值快照，历史估值待核验,16.762874,6.50661,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0697851563584136,0.0013,0.001165,86.26,3,0.008808,0,0.080579
301165,20260331,2026-04-21,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,2999089577.27,122924259.41,111879844.28,-1468111526.23,-1468111526.23,-11.94322042920169,0.0243,0.02008375,0.1170359768469948,-0.0022459006780387,0.47638751,53.615545,158.805133,0.139243,665.6009,,22.13,2026-07-30,当前估值快照，历史估值待核验,35.696828,4.098677,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,,0.0,0.0,,0,0.009808,0,0.000142
2558,20260331,2026-04-28,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,2328514124.66,1080400017.37,1013521069.07,1321579325.51,1321579325.51,1.2232314922829222,0.0681,0.0657065699999999,0.661636384199251,0.5697341432243259,0.1986034799999999,9.164043,,0.0,106250.46,21.15,3.22,2026-07-30,当前估值快照，历史估值待核验,95.377689,50.071764,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0578360043632587,0.2138,0.008038,15.98,16,0.000311,0,0.0
688183,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,2410568379.4,444718185.46,441124463.68,615342138.76,615342138.76,1.38366758742621,0.0747,0.0572616,0.4806549558541739,,0.4751803,102.548163,98.860224,0.0136969999999999,2214.8353,40.18,11.26,2026-07-30,当前估值快照，历史估值待核验,35.205505,18.448685,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0344367244257394,0.0,0.0,42.61,1,0.000237,0,0.0
600221,20260331,2026-04-30,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,18473382000.0,1725206000.0,1533777000.0,4272667000.0,4272667000.0,2.476612647996819,0.281,0.02361629,0.1200343689623515,1.469273123884848,0.95304862,21.116256,13.467985,0.27442,2127.233,17.0,8.39,2026-07-30,当前估值快照，历史估值待核验,11.865639,9.270857,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.1456830969409893,0.2071,0.1196989135802609,89.4,19,0.057806,0,1.753368
2602,20260331,2026-04-30,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,11010458150.15,2027304123.18,1978380747.58,1940780801.2,1940780801.2,0.9573209954092724,0.0646,0.05941137,0.5386497904106577,0.8025205350851132,0.28036334,32.843199,22.641779,0.017747,-3531.6954,15.47,3.01,2026-07-30,当前估值快照，历史估值待核验,72.047882,18.608284,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0618824172856672,0.1515,0.358352,12.52,37,0.033723,0,0.019518
2837,20260331,2026-04-21,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,1175329313.61,8657602.27,5392856.48,-386363968.71,-386363968.71,-44.62713308612177,0.25,0.32122,0.3061360097150805,-0.3554547806800117,0.5510847,234.120025,109.509879,0.045225,134.3567,124.51,17.36,2026-07-30,当前估值快照，历史估值待核验,24.293461,1.204859,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.3584220792395933,0.0538,0.017213,164.63,3,0.005744,0,0.017713
600549,20260331,2026-04-24,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,15743173489.11,1106815989.81,1096668656.68,-2569857889.46,-2569857889.46,-2.3218474553309907,0.0624,0.0379362,0.2251187950299287,0.4090405575127191,0.55617037,44.912882,124.231357,0.048191,2012.8085,23.62,3.9,2026-07-30,当前估值快照，历史估值待核验,21.003788,10.684907,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0983000616143518,0.0,0.0010726945019676,25.89,6,0.002784,0,0.005428
688521,20260331,2026-04-30,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,835739470.03,-340842945.2,-335219028.29,-308403575.45,-308403575.45,0.9048260490444794,-0.1038,-0.06264315,0.15716400882405,0.628891,0.59735155,129.321306,80.596225,0.148961,-756.8935,-138.08,28.44,2026-07-30,当前估值快照，历史估值待核验,32.294832,-40.783396,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,,0.0,0.1999445889822027,,0,0.000481,0,0.0
300450,20260331,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,3690650989.26,405394870.88,400970968.29,1247581972.19,1247581972.19,3.0774488327438507,0.0302999999999999,0.02566754,0.0407881639752503,-0.1005548935658822,0.61635478,167.027828,567.882771,0.036134,599.2641,34.84,3.13,2026-07-30,当前估值快照，历史估值待核验,33.612077,10.548519,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0883309079432792,0.0,0.0609264401310037,61.64,2,0.001518,0,0.0
1280,20241231,2026-04-29,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,3564871309.88,214089722.11,209236130.33,901446993.47,901446993.47,4.210603781375519,0.0126,0.01058899,,0.216678,0.41385795,60.882668,347.10335,0.111458,21.39,71.85,7.25,2026-07-30,当前估值快照，历史估值待核验,17.52503,6.611641,是,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0586026970267991,0.0,0.0,8.95,0,0.010347,0,0.098595
2353,20260331,2026-04-17,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,3290570298.17,588253737.78,580239869.31,-1263681623.39,-1263681623.39,-2.1481914048842,0.0252,0.02241921,0.1301272193340539,0.1913409345022534,0.3771869399999999,163.296887,264.30516,0.069925,596.0587,45.92,5.48,2026-07-30,当前估值快照，历史估值待核验,33.616605,17.914076,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0467811717091507,0.0063,0.004183,40.54,4,0.015299,0,0.004511
601727,20260331,2026-04-30,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,24318665000.0,380437000.0,287178000.0,-800468000.0,-800468000.0,-2.104075050533991,0.69,0.614531,0.0453361952933371,0.1153677582692906,0.7549840600000001,136.657633,227.054682,0.066511,389.2885,82.72,1.95,2026-07-30,当前估值快照，历史估值待核验,18.356684,2.667579,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,-0.0254361103787958,0.1351,0.0374344887231389,183.24,21,0.011421,2,0.027249
600930,20260331,2026-04-21,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,10587503120.0,2061318117.0,2051117933.0,5940603220.0,5940603220.0,2.8819439226808097,0.0174,0.83191,0.134209296987398,-0.0998983053504077,0.7097418999999999,404.354521,1.745297,0.409968,271.8132,27.49,1.59,2026-07-30,当前估值快照，历史估值待核验,40.808136,22.040297,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.1048360830367701,0.0,0.0046638824997716,103.39,107,0.003673,0,0.0
603893,20260331,2026-04-22,2026-03-31,2026-07-31,AKShare/新浪财务报告+东方财富财务摘要,公开,1205453647.35,329194658.46,319900584.29,382507658.14,382507658.14,1.1619497713887663,0.0723,0.07145878,0.5410755164325154,,0.1785486399999999,31.048405,167.607217,0.0,-34818.6037,66.65,16.38,2026-07-30,当前估值快照，历史估值待核验,43.042024,27.308777,未审计,当前快照，估值为当前市场数据,公开接口当前财务数据；当前估值不用于严格历史回测,0.0174336049720745,0.0,0.0,60.72,5,0.005428,0,0.0
