股票代码,报告期,实际披露日,数据截止日,评分日期,数据来源,来源等级,收入,归母净利润,扣非净利润,经营现金流净额,自由现金流,FCF净利比,ROE,ROIC,收入3年CAGR,扣非净利润3年CAGR,资产负债率,有息负债率,利息保障倍数,应收周转天数,存货周转天数,PE_TTM,PB_MRQ,EV_EBITDA,FCF_Yield,审计意见,监管处罚次数,大股东质押率,商誉净资产比,关联交易风险,数据状态,备注,诉讼仲裁次数,对外担保风险,毛利率,净利率
1,2020-03-31,2020-04-21,2020-03-31,2020-04-21,AKShare/东方财富财务摘要+新浪财报公告,公开,37926000000.0,8548000000.0,8506000000.0,18006000000.0,18006000000.0,2.104468,0.0277,0.01041,0.1100689130219452,0.1104473629878157,0.91473146,0.114228,,,,8.87,0.92,6.92,0.2374811331355686,未审计,76.0,0.0002,0.021478,0.005308,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.004867,,0.225386
1,2020-06-30,2020-08-28,2020-06-30,2020-08-28,AKShare/东方财富财务摘要+新浪财报公告,公开,78328000000.0,13678000000.0,13586000000.0,-25666000000.0,-25666000000.0,-1.876443,0.0458999999999999,0.015369,0.1315043642411155,0.0278307934308845,0.915906,0.129715,,,,9.52,,7.4,-0.1971054542594929,未审计,76.0,0.0002,0.021537,0.007122,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.005051,,0.174625
1,2020-09-30,2020-10-22,2020-09-30,2020-10-22,AKShare/东方财富财务摘要+新浪财报公告,公开,116564000000.0,22398000000.0,22316000000.0,30698000000.0,30698000000.0,1.370568,0.0762999999999999,0.024166,0.1344773011861553,0.0526899115700689,0.91746548,0.131311,,,,,1.18,,,未审计,76.0,0.0002,0.021094,0.005373,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.002818,,0.192152
1,2021-03-31,2021-04-21,2021-03-31,2021-04-21,AKShare/东方财富财务摘要+新浪财报公告,公开,41788000000.0,10132000000.0,10111000000.0,-11553000000.0,-11553000000.0,-1.140248,0.0272,0.009963,0.1424314653347749,0.1554215714417692,0.91851757,0.141956,,,,13.87,,10.92,-0.0822097128288708,未审计,76.0,0.0002,0.02031,0.006537,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.003513,,0.242462
1,2021-06-30,2021-08-20,2021-06-30,2021-08-20,AKShare/东方财富财务摘要+新浪财报公告,公开,84680000000.0,17583000000.0,17511000000.0,-115972000000.0,-115972000000.0,-6.595689,0.0516999999999999,0.015278,0.1394393469103811,0.0953099839630289,0.92014578,0.164718,,,,,1.23,,,未审计,76.0,0.0002,0.020064,0.008419,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.00785,,0.207641
1,2021-09-30,2021-10-21,2021-09-30,2021-10-21,AKShare/东方财富财务摘要+新浪财报公告,公开,127190000000.0,29135000000.0,28992000000.0,-125808000000.0,-125808000000.0,-4.318105,0.0886,0.024788,0.1364179347405774,0.1252765372389819,0.91987387,0.162442,,,,11.37,,9.0,-0.379780595562555,未审计,76.0,0.0002,0.019462,0.009279,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.007872,,0.229067
1,2020-12-31,2022-03-10,2020-12-31,2022-03-10,AKShare/东方财富财务摘要+新浪财报公告,公开,153542000000.0,28928000000.0,28840000000.0,-16161000000.0,-16161000000.0,-0.558662,0.0958,0.029764,0.1322256755107687,0.0758202951883939,0.91851183,0.136883,,,,,0.93,,,是,76.0,0.0002,0.020784,0.004604,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.002631,,0.188404
1,2022-03-31,2022-04-27,2022-03-31,2022-04-27,AKShare/东方财富财务摘要+新浪财报公告,公开,46207000000.0,12850000000.0,12873000000.0,147127000000.0,147127000000.0,0.11449571,0.0327,0.011029,0.1247303472441037,0.2014884670394523,0.92063715,0.150433,,,,8.39,,6.66,1.364668889682455,未审计,76.0,0.0002,0.018632,0.007997,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.010311,,0.278096
1,2022-06-30,2022-08-18,2022-06-30,2022-08-18,AKShare/东方财富财务摘要+新浪财报公告,公开,92022000000.0,22088000000.0,22042000000.0,150483000000.0,150483000000.0,6.812884,0.0596999999999999,0.020404,0.1070283711525688,0.1290206364840336,0.91933527,0.132556,,,,6.46,,5.14,1.054626133798608,未审计,76.0,0.0002,0.018365,0.008936,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.022182,,0.24003
1,2022-09-30,2022-10-25,2022-09-30,2022-10-25,AKShare/东方财富财务摘要+新浪财报公告,公开,138265000000.0,36659000000.0,36597000000.0,92518000000.0,92518000000.0,2.523745,0.1015,0.032642,0.1032757016225316,0.15866968531834,0.91811874,0.135027,,,,5.93,0.66,4.71,0.4255895234632916,未审计,76.0,0.0002,0.017791,0.006235,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.021712,,0.265136
1,2021-12-31,2023-03-09,2021-12-31,2023-03-09,AKShare/东方财富财务摘要+新浪财报公告,公开,169383000000.0,36336000000.0,36230000000.0,-192733000000.0,-192733000000.0,-5.304188,0.1085,0.029868,0.1321739074497447,0.1362061271077232,0.91964692,0.167466,,,,5.77,,4.57,-0.9192701357711238,是,76.0,0.0002,0.019138,0.00857,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.009973,,0.21452
1,2023-03-31,2023-04-25,2023-03-31,2023-04-25,AKShare/东方财富财务摘要+新浪财报公告,公开,45098000000.0,14602000000.0,14469000000.0,109156000000.0,109156000000.0,7.475414,0.0339,0.013307,0.0594327983042877,0.1937252476454833,0.91811703,0.11918,,,,5.84,,4.64,1.2800366997952992,未审计,76.0,0.0002,0.01694,0.008686,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.026346,,0.323784
1,2023-06-30,2023-08-24,2023-06-30,2023-08-24,AKShare/东方财富财务摘要+新浪财报公告,公开,88610000000.0,25387000000.0,25216000000.0,44241000000.0,44241000000.0,1.742663,0.0622,0.022023,0.0419700429354681,0.2289329685444243,0.91781273,0.127425,,,,4.91,,3.9,0.3549212969384638,未审计,76.0,0.0002,0.016741,0.008347,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.034844,,0.286503
1,2023-09-30,2023-10-25,2023-09-30,2023-10-25,AKShare/东方财富财务摘要+新浪财报公告,公开,127634000000.0,39635000000.0,39568000000.0,115930000000.0,115930000000.0,2.92494,0.0988,0.036433,0.0307040422509998,0.2103451904233289,0.91554981,0.112905,,,,4.41,,3.57,0.663251718415805,未审计,76.0,0.0002,0.016245,0.005488,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.036163,,0.310536
1,2022-12-31,2024-03-15,2022-12-31,2024-03-15,AKShare/东方财富财务摘要+新浪财报公告,公开,179895000000.0,45516000000.0,45407000000.0,134572000000.0,134572000000.0,2.956586,0.1235999999999999,0.040552,0.0925065959453439,0.173665411674817,0.91831647,0.130089,,,,,0.51,,,是,76.0,0.0002,0.017411,0.008054,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.022384,,0.253014
1,2024-03-31,2024-04-20,2024-03-31,2024-04-20,AKShare/东方财富财务摘要+新浪财报公告,公开,38770000000.0,14932000000.0,14906000000.0,-21382000000.0,-21382000000.0,-1.431958,0.0315,0.012017,-0.0246778852378817,0.1381224816550221,0.91524833,0.132447,,,,,0.49,,,未审计,76.0,0.0002,0.015586,0.01312,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.022256,,0.385143
1,2024-06-30,2024-08-16,2024-06-30,2024-08-16,AKShare/东方财富财务摘要+新浪财报公告,公开,77132000000.0,25879000000.0,25880000000.0,113722000000.0,113722000000.0,4.394373,0.0579,0.023828,-0.0306411468273903,0.1390718205226357,0.91625543,0.105727,,,,4.11,,3.33,1.0691907096369977,未审计,76.0,0.0002,0.015706,0.01472,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.019746,,0.335516
1,2024-09-30,2024-10-19,2024-09-30,2024-10-19,AKShare/东方财富财务摘要+新浪财报公告,公开,111582000000.0,39729000000.0,39748000000.0,137158000000.0,137158000000.0,3.452339,0.091,0.03608,-0.0427022061776221,0.110910406475563,0.91464148,0.106704,,,,4.99,,4.15,0.6918516234058896,未审计,76.0,0.0002,0.01543,0.007674,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.014549,,0.356052
1,2023-12-31,2025-03-15,2023-12-31,2025-03-15,AKShare/东方财富财务摘要+新浪财报公告,公开,164699000000.0,46455000000.0,46431000000.0,92461000000.0,92461000000.0,1.990334,0.1138,0.038832,0.0236573042239565,0.1720269382285588,0.91546121,0.130291,,,,4.94,,3.98,0.4029017677200128,是,76.0,0.0002,0.016023,0.008986,历史财务快照，估值与治理字段待补,实际披露日缺失的报告期不得进入严格历史评分,7,0.028578,,0.28206
